gene_human,gene,M_1_R1,M_1_R2,M_1_R3,M_2_R1,M_2_R2,M_2_R3,M_3_R1,M_3_R2,M_3_R3,H_1_R1,H_1_R2,H_1_R3,H_2_R1,H_2_R2,H_2_R3,H_3_R1,H_3_R2,H_3_R3,Gene description,Gene stable ID,Human gene stable ID,Protein stable ID,Protein.Group,Protein.Ids,Protein.Names,Protein.Group,Protein.Ids,Protein.Names
PSMC3IP,Psmc3ip,61231.54222,66636.27719,79283.55597,89312.76463,86811.46734,96738.48059,60129.3212,61083.72547,59861.90164,7586.569185,20765.87941,16861.21672,20658.99068,16468.33388,12969.98475,16502.12794,21937.82406,18215.16808,"proteasome (prosome, macropain) 26S subunit, ATPase 3, interacting protein [Source:MGI Symbol;Acc:MGI:1098610]",ENSMUSG00000019303,ENSG00000131470,ENSMUSP00000019447,Q9P2W1,Q9P2W1;K7EK12;K7EQS1;K7ELD8,HOP2_HUMAN,O35047,O35047;D6RFC4,HOP2_MOUSE
CSTF2,Cstf2,71597.80065,78743.3064,77731.84516,89355.08856,94311.14571,88251.92596,60236.39579,63772.14083,61555.52804,64683.11887,63235.37147,63978.15483,70620.60395,76478.15632,77403.13922,63898.55449,62251.9136,67980.89862,"cleavage stimulation factor, 3' pre-RNA subunit 2 [Source:MGI Symbol;Acc:MGI:1343054]",ENSMUSG00000031256,ENSG00000101811,ENSMUSP00000033609,P33240,P33240;E7EWR4;A0A0A0MT56;E9PID8,CSTF2_HUMAN,Q8BIQ5,Q8BIQ5;A2AEK1;A2AEJ8,CSTF2_MOUSE
DPM1,Dpm1,73938.07291,77221.75104,69658.53026,89394.12856,86510.08433,84964.43276,50317.75056,48471.42322,49771.38094,119448.638,133296.872,127041.0808,163086.9437,160118.2923,154138.5006,143536.3941,152861.8599,154894.6635,dolichol-phosphate (beta-D) mannosyltransferase 1 [Source:MGI Symbol;Acc:MGI:1330239],ENSMUSG00000078919,ENSG00000000419,ENSMUSP00000118776,O60762,O60762;H0Y368;Q5QPJ9;Q5QPK2,DPM1_HUMAN,O70152,O70152;F8WII3,DPM1_MOUSE
ECI2,Eci2,46376.46526,73603.90048,75724.09396,89481.56012,83316.82142,85912.38811,58839.95159,63431.32427,52738.57849,45713.18408,42447.72497,44891.33954,49728.606,52548.42264,49995.15228,50129.26938,46456.61656,52757.12446,enoyl-Coenzyme A delta isomerase 2 [Source:MGI Symbol;Acc:MGI:1346064],ENSMUSG00000021417,ENSG00000198721,ENSMUSP00000131735,O75521,O75521;C9JB63;F8WAW4;F1LLU7;F8W6J1;A0A0C4DGA2,ECI2_HUMAN,Q9WUR2,Q9WUR2;Q3TCD4;E9PYC6;E9PVM6;E9Q858;E9PUY9;E9Q7A8;E9PYA9,ECI2_MOUSE
CHAF1B,Chaf1b,88790.54043,85112.69985,78222.75978,89611.05261,83172.90362,90054.99535,55597.64205,59921.44458,52089.91467,48209.41272,51304.50026,45847.55003,55389.56779,61744.19892,55447.62229,51541.18231,51075.21895,58906.06934,"chromatin assembly factor 1, subunit B (p60) [Source:MGI Symbol;Acc:MGI:1314881]",ENSMUSG00000022945,ENSG00000159259,ENSMUSP00000023666,Q13112,Q13112,CAF1B_HUMAN,Q9D0N7,Q9D0N7;D3YTP6;D3Z616,CAF1B_MOUSE
HDHD2,Hdhd2,75034.02385,82765.33451,75389.85566,89672.25433,65924.13933,78581.89075,44070.48913,41790.64068,35086.086,60557.02264,79192.13653,53343.43073,60398.58073,60577.53248,59833.9694,62684.65582,84241.16491,77365.96264,haloacid dehalogenase-like hydrolase domain containing 2 [Source:MGI Symbol;Acc:MGI:1924237],ENSMUSG00000025421,ENSG00000167220,ENSMUSP00000095129,Q9H0R4,Q9H0R4;K7ER15,HDHD2_HUMAN,Q3UGR5,Q3UGR5,HDHD2_MOUSE
GRSF1,Grsf1,83001.52711,85380.72819,81918.25506,89692.11394,87660.39685,84881.55685,59679.8031,62482.94155,59899.83494,134270.7045,129643.5326,125253.4203,141797.2159,145507.1975,145522.0768,135505.1193,133546.9694,143497.4784,G-rich RNA sequence binding factor 1 [Source:MGI Symbol;Acc:MGI:106479],ENSMUSG00000044221,ENSG00000132463,ENSMUSP00000077972,Q12849,Q12849;H0Y8R1;F5H5I6;H0YAK1,GRSF1_HUMAN,Q8C5Q4,Q8C5Q4;E9Q179,GRSF1_MOUSE
PEX1,Pex1,73448.66715,72343.78748,50711.09688,89765.79215,102325.678,130168.3503,102742.9832,126062.3854,0,5970.190574,6855.828538,5373.199121,6875.009843,6901.932984,7038.978267,7076.021727,5736.908672,7267.921947,peroxisomal biogenesis factor 1 [Source:MGI Symbol;Acc:MGI:1918632],ENSMUSG00000005907,ENSG00000127980,ENSMUSP00000006061,O43933,O43933;A0A0C4DG33,PEX1_HUMAN,A0A0G2JE39,A0A0G2JE39,A0A0G2JE39_MOUSE
NDN,Ndn,73115.03334,75963.14745,77020.65769,89910.40093,93986.79745,87123.53038,47881.07626,55058.68767,41748.95094,19317.00304,24934.71562,19069.89242,25480.47315,25901.01097,22560.44137,20803.42976,25168.02118,29670.22406,"necdin, MAGE family member [Source:MGI Symbol;Acc:MGI:97290]",ENSMUSG00000033585,ENSG00000182636,ENSMUSP00000045369,Q99608,Q99608,NECD_HUMAN,P25233,P25233,NECD_MOUSE
VPS4B,Vps4b,100164.7706,83525.0969,87145.38566,90022.14937,92361.55515,95686.93668,62939.4886,65679.90048,61921.48692,54088.67,54958.65802,56208.70831,64513.97234,61913.7316,59690.17212,58583.55699,60055.35484,59785.81045,vacuolar protein sorting 4B [Source:MGI Symbol;Acc:MGI:1100499],ENSMUSG00000009907,ENSG00000119541,ENSMUSP00000108356,O75351,O75351,VPS4B_HUMAN,P46467,P46467,VPS4B_MOUSE
TBPL1,Tbpl1,112347.87,94537.67686,92796.37201,90026.45347,95853.26116,90743.36486,59664.02056,66777.22263,56423.06614,104211.2086,115125.6976,114703.7848,123030.8937,142589.244,131788.8394,130571.6575,129879.5349,115770.31,TATA box binding protein-like 1 [Source:MGI Symbol;Acc:MGI:1339946],ENSMUSG00000071359,ENSG00000028839,ENSMUSP00000114223,P62380,P62380;Q7Z6U1;Q7Z6U2,TBPL1_HUMAN,P62340,P62340,TBPL1_MOUSE
LARS1,LARS1,82987.04039,85253.47158,84054.6108,90084.28485,89105.8289,90046.67803,58751.64252,58881.16829,55895.58327,85705.99316,95900.2648,84642.87606,100709.6994,97731.88731,99157.42425,94073.25228,97886.24709,99023.43573,leucyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1913808],ENSMUSG00000024493,ENSG00000133706,ENSMUSP00000095197,Q9P2J5,Q9P2J5;A0A6I8PIP7;A0A6I8PIV1;A0A6I8PTV8;A0A6I8PRU9;A0A6I8PRS0;A0A6I8PL42;A0A6I8PLB3;B4DER1;A0A6I8PS05;A0A6I8PLB8;A0A6I8PIT3,SYLC_HUMAN,Q8BMJ2,Q8BMJ2,SYLC_MOUSE
COPB1,Copb1,81611.46151,82863.62099,80573.09538,90085.13408,87601.35349,84153.9581,56754.22407,54777.15046,52377.81885,91665.31898,100248.0443,88820.17164,106289.9305,102992.2702,103071.3857,96864.30764,101301.6008,107701.0801,"coatomer protein complex, subunit beta 1 [Source:MGI Symbol;Acc:MGI:1917599]",ENSMUSG00000030754,ENSG00000129083,ENSMUSP00000033012,P53618,P53618,COPB_HUMAN,Q9JIF7,Q9JIF7,COPB_MOUSE
AK3,Ak3,78152.17269,76450.95399,75308.02787,90196.43889,85561.10297,88727.23058,61628.28207,58686.28036,60014.02974,284055.9923,296347.8854,279481.3373,326597.9585,331837.7355,343591.4293,324997.7185,302339.2559,332302.5139,adenylate kinase 3 [Source:MGI Symbol;Acc:MGI:1860835],ENSMUSG00000024782,ENSG00000147853,ENSMUSP00000025696,Q9UIJ7,Q9UIJ7,KAD3_HUMAN,Q9WTP7,Q9WTP7;F6RP11,KAD3_MOUSE
BID,Bid,74451.19402,70161.97675,76214.30965,90208.66719,78911.80319,79189.35641,58966.7378,54152.99862,52785.27554,134842.7032,130713.8492,151822.6186,137038.8421,157236.8047,145761.2273,164629.0692,137796.5045,126066.9516,BH3 interacting domain death agonist [Source:MGI Symbol;Acc:MGI:108093],ENSMUSG00000004446,ENSG00000015475,ENSMUSP00000125731,P55957,P55957,BID_HUMAN,P70444,P70444,BID_MOUSE
NSMCE1,Nsmce1,95551.0539,80339.25141,89122.04572,90275.04754,86968.95022,91729.04815,61611.74201,59602.2038,52436.66006,30830.20953,42806.89529,35449.04089,42060.80897,48112.21161,33257.5581,33433.82155,31127.62737,41056.95344,"NSE1 homolog, SMC5-SMC6 complex component [Source:MGI Symbol;Acc:MGI:1914961]",ENSMUSG00000030750,ENSG00000169189,ENSMUSP00000033006,Q8WV22,Q8WV22;H3BSL0;I3L1I3;H3BR73,NSE1_HUMAN,Q9D720,Q9D720;A0A0R4J0C0,NSE1_MOUSE
VPS18,Vps18,78847.41231,89009.32222,83249.7442,90332.84332,95604.00758,99505.50102,60767.53859,67874.28689,59755.96743,11444.05907,12187.9316,10001.68452,13235.65234,13143.08439,13116.22963,12431.92489,12851.37113,12653.98094,VPS18 CORVET/HOPS core subunit [Source:MGI Symbol;Acc:MGI:2443626],ENSMUSG00000034216,ENSG00000104142,,Q9P253,Q9P253,VPS18_HUMAN,Q8R307,Q8R307,VPS18_MOUSE
CAD,Cad,83947.53782,78608.5707,78319.40449,90371.52567,88226.92851,84620.71652,54384.81389,56338.3851,52899.53784,39179.58849,42998.52304,39653.64287,46535.15627,46878.39607,46278.98327,42781.76698,44739.79203,45119.96174,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:MGI Symbol;Acc:MGI:1916969]",ENSMUSG00000013629,ENSG00000084774,ENSMUSP00000013773,P27708,P27708;F8VPD4,PYR1_HUMAN,B2RQC6,B2RQC6;E9QAI5;G3UWN2;F6S3Z3,PYR1_MOUSE
YAP1,Yap1,102628.4387,95864.34269,85769.90077,90448.25998,74073.79152,81519.70538,49755.23454,52490.5963,52119.11517,134593.8368,165443.4997,128725.5852,153369.3447,147164.2205,153568.4394,135844.9368,130393.9472,164593.5946,yes-associated protein 1 [Source:MGI Symbol;Acc:MGI:103262],ENSMUSG00000053110,ENSG00000137693,ENSMUSP00000083772,P46937,P46937,YAP1_HUMAN,P46938,P46938;G3UYV4;G3UYA6;G3UY62;G3UYW7,YAP1_MOUSE
NOSIP,Nosip,77739.35219,83162.70821,83347.89424,90480.97574,88308.10592,93771.63995,62277.46186,59236.72389,51496.80277,69298.36118,84183.53578,82859.06892,88602.26662,94125.43517,93539.30411,82326.07932,83945.95415,97983.52882,nitric oxide synthase interacting protein [Source:MGI Symbol;Acc:MGI:1913644],ENSMUSG00000003421,ENSG00000142546,ENSMUSP00000103460,Q9Y314,Q9Y314;A0A075B797;M0R3B2;A0A075B6F9,NOSIP_HUMAN,Q9D6T0,Q9D6T0;A0A1B0GT07;A0A1B0GSR8;A0A1B0GS52,NOSIP_MOUSE
SLC7A1,Slc7a1,80945.74732,83617.94531,86267.59585,90519.45923,98232.26718,86810.61532,58845.90033,58130.16463,53984.0338,75142.49369,77007.93937,73276.75524,94833.7917,96050.678,84127.20901,80870.86658,76342.82477,97567.41657,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 1 [Source:MGI Symbol;Acc:MGI:88117]",ENSMUSG00000041313,ENSG00000139514,ENSMUSP00000046714,P30825,P30825;Q5JR49,SL7A1_HUMAN,Q09143,Q09143;E9Q3N1,SL7A1_MOUSE
DPYSL3,Dpysl3,103703.9109,89386.89104,86641.20412,90581.76021,90819.24265,89982.27711,63927.26052,63549.06679,58404.42755,344244.8271,358044.4262,343748.0134,409943.6935,419666.8516,419848.3585,399170.6984,394145.1084,420177.7088,dihydropyrimidinase-like 3 [Source:MGI Symbol;Acc:MGI:1349762],ENSMUSG00000024501,ENSG00000113657,ENSMUSP00000112928,Q14195,Q14195,DPYL3_HUMAN,Q62188,Q62188;E9PWE8;Q3TT92,DPYL3_MOUSE
SPATS2,Spats2,78292.39673,82662.47001,79951.9461,90592.58171,84234.89135,85206.99778,63064.34304,63495.55021,61042.9319,32734.29824,29562.80773,29821.92305,37047.14264,36930.65785,36477.00886,33928.28043,33787.21008,35148.54189,"spermatogenesis associated, serine-rich 2 [Source:MGI Symbol;Acc:MGI:1919822]",ENSMUSG00000051934,ENSG00000123352,ENSMUSP00000155049,Q86XZ4,Q86XZ4,SPAS2_HUMAN,Q8K1N4,Q8K1N4,SPAS2_MOUSE
CDK2AP1,Cdk2ap1,119117.2588,86079.25618,84584.29362,90681.50642,89693.17724,99680.47,67777.40805,57499.61422,51492.36965,21614.44313,15298.68474,35532.69872,16310.27956,0,6928.655135,13902.83634,14173.84806,17994.91805,CDK2 (cyclin-dependent kinase 2)-associated protein 1 [Source:MGI Symbol;Acc:MGI:1202069],ENSMUSG00000029394,ENSG00000111328,ENSMUSP00000031341,O14519,O14519;F5GZF0,CDKA1_HUMAN,O35207,O35207;F2Z4B3,CDKA1_MOUSE
CWC27,Cwc27,86355.48952,77275.69356,74316.00031,90718.54253,79517.95088,79832.90594,51050.27468,46743.25004,49725.56746,55106.45088,63310.85275,60388.05958,67246.71339,67199.41764,67187.40476,59372.88736,73110.34951,66250.30384,CWC27 spliceosome-associated protein [Source:MGI Symbol;Acc:MGI:1914535],ENSMUSG00000021715,ENSG00000153015,ENSMUSP00000022228,Q6UX04,Q6UX04;D6REK3,CWC27_HUMAN,Q3TKY6,Q3TKY6,CWC27_MOUSE
ACAD9,Acad9,74302.36553,69715.51513,69893.84058,90720.57739,90696.99096,86955.45386,48579.85077,48403.87066,46556.43646,66963.36735,68117.0909,64291.8158,79955.62657,81412.02044,81570.58994,77930.43917,73951.81649,79509.79303,"acyl-Coenzyme A dehydrogenase family, member 9 [Source:MGI Symbol;Acc:MGI:1914272]",ENSMUSG00000027710,ENSG00000177646,ENSMUSP00000011492,Q9H845,Q9H845;H0Y8Z9,ACAD9_HUMAN,Q8JZN5,Q8JZN5;A0A0G2JF25,ACAD9_MOUSE
DCUN1D5,Dcun1d5,83243.88327,74094.66614,73504.5575,90729.96784,76929.05781,77580.02322,50395.89287,45773.13711,45577.75797,65775.44071,63155.54238,65467.30338,76666.41032,75026.88823,77336.60537,68420.41273,71409.44805,75195.12494,"DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1924113]",ENSMUSG00000032002,ENSG00000137692,ENSMUSP00000150564,Q9BTE7,Q9BTE7;E9PM04;H0YCN4,DCNL5_HUMAN,Q9CXV9,Q9CXV9;A0A1L1SSU2;A0A1N9M8A6,DCNL5_MOUSE
TSG101,Tsg101,59360.23291,76289.56693,77706.29728,90742.00355,88648.4663,85243.42142,57359.13401,52040.72538,53564.31813,78758.32593,89161.81955,77371.34813,102221.0283,94397.16965,92615.60808,93785.8505,91184.58994,93079.71591,tumor susceptibility gene 101 [Source:MGI Symbol;Acc:MGI:106581],ENSMUSG00000014402,ENSG00000074319,ENSMUSP00000014546,Q99816,Q99816;F5H442,TS101_HUMAN,Q61187,Q61187;D3Z2V5;A0A1B0GRX2;A0A1B0GS10,TS101_MOUSE
COMMD8,Commd8,112554.8284,94629.53947,83619.85702,90748.53105,87398.68641,94152.71455,59946.34914,62916.66392,64145.40965,83918.57843,102739.0054,72595.44501,87237.07276,84084.74329,101066.9715,90214.31097,88515.8592,116213.2873,COMM domain containing 8 [Source:MGI Symbol;Acc:MGI:1343485],ENSMUSG00000029213,ENSG00000169019,ENSMUSP00000013693,Q9NX08,Q9NX08,COMD8_HUMAN,Q9CZG3,Q9CZG3,COMD8_MOUSE
MTX2,Mtx2,92185.30865,82699.17705,77836.02243,90752.44859,87035.1506,83216.74587,57694.50672,55878.41389,49500.84726,111584.8677,101599.1263,113494.7064,139660.1916,135924.5433,130728.1158,124588.0514,125896.1401,117881.4071,metaxin 2 [Source:MGI Symbol;Acc:MGI:1859652],ENSMUSG00000027099,ENSG00000128654,ENSMUSP00000028511,O75431,O75431;C9JNK6;C9JAZ1,MTX2_HUMAN,O88441,O88441,MTX2_MOUSE
SDF2,Sdf2,72515.80636,68423.82614,66314.70325,91014.09751,67785.34962,56516.6422,34762.89548,57159.13564,45312.00122,70374.42717,65696.57006,65526.52956,76966.483,94431.94282,106490.7937,82847.79192,96079.82953,71566.04705,stromal cell derived factor 2 [Source:MGI Symbol;Acc:MGI:108019],ENSMUSG00000002064,ENSG00000132581,ENSMUSP00000002133,Q99470,Q99470,SDF2_HUMAN,Q9DCT5,Q9DCT5;A0A0R4IZW9,SDF2_MOUSE
GEMIN6,Gemin6,75636.38513,79779.32552,79685.69259,91126.97412,88405.75343,89818.12926,59085.19912,54462.03781,57437.72525,38287.51818,41503.34183,43262.85523,50587.50667,54211.93514,53523.59711,50063.16032,39336.60468,50251.02098,gem nuclear organelle associated protein 6 [Source:MGI Symbol;Acc:MGI:1914492],ENSMUSG00000055760,ENSG00000152147,,Q8WXD5,Q8WXD5,GEMI6_HUMAN,Q9CX53,Q9CX53,GEMI6_MOUSE
RAC3,Rac3,86465.78179,77682.31433,69686.41117,91127.8873,93861.75324,93704.013,50367.37634,51349.78648,47862.29115,279511.213,245766.0633,254148.0896,340584.1581,303648.408,273522.0426,239076.5728,305460.3715,340639.1704,Rac family small GTPase 3 [Source:MGI Symbol;Acc:MGI:2180784],ENSMUSG00000018012,ENSG00000169750,ENSMUSP00000018156,P60763,P60763;J3QLK0;J3KSC4,RAC3_HUMAN,P60764,P60764;A2AC13,RAC3_MOUSE
TOLLIP,Tollip,96233.69101,88921.46508,90965.23228,91132.08724,80481.76338,89356.391,61614.48858,59438.9078,57342.41226,90104.58041,84363.5577,81525.74762,101957.0665,106631.8666,93671.27197,100155.9019,90635.62989,109141.307,toll interacting protein [Source:MGI Symbol;Acc:MGI:1891808],ENSMUSG00000025139,ENSG00000078902,ENSMUSP00000051485,Q9H0E2,Q9H0E2;E9PP67;E9PQ25;E7EN89,TOLIP_HUMAN,Q9QZ06,Q9QZ06;A9JEI5;F7AT44;Q8C5G6,TOLIP_MOUSE
HMBS,Hmbs,105786.8088,80387.44858,84318.36375,91139.60171,83673.1089,87800.56029,55837.60567,60837.88827,56425.04288,47734.47054,47415.24383,50174.72476,53499.56304,50705.77658,50277.4749,54668.08216,48368.81686,51151.22825,hydroxymethylbilane synthase [Source:MGI Symbol;Acc:MGI:96112],ENSMUSG00000032126,ENSG00000256269,ENSMUSP00000076575,P08397,P08397;A0A3B3IU34;F5H226;A0A3F2YNY7;A0A1W2PNU5;F5H0P4;F5GY90;F5H345;A0A3B3IRR1;A0A3B3IU56,HEM3_HUMAN,P22907,P22907,HEM3_MOUSE
GLRX,Glrx,66709.4003,81781.20321,77034.87007,91208.97046,91767.7463,93463.05243,62162.9232,60643.43663,45437.75515,273637.4816,268665.8193,255556.1428,269414.3758,276061.2824,263587.8314,260709.847,290778.257,258373.1379,glutaredoxin [Source:MGI Symbol;Acc:MGI:2135625],ENSMUSG00000021591,ENSG00000173221,ENSMUSP00000022082,P35754,P35754,GLRX1_HUMAN,Q9QUH0,Q9QUH0;A0A1Y7VM65,GLRX1_MOUSE
AGK,Agk,73942.56684,83719.2623,82604.29473,91370.95023,93826.14099,92138.09995,62524.87162,65790.79451,59686.72692,123290.8772,144527.3199,123178.8606,156741.0377,152079.8743,152609.8382,136873.8334,143895.0471,146582.9035,acylglycerol kinase [Source:MGI Symbol;Acc:MGI:1917173],ENSMUSG00000029916,ENSG00000006530,ENSMUSP00000031977,Q53H12,Q53H12;A0A3B3ISY9;A0A0G2JLD0;A0A3B3ITD0;E9PC15;A0A3B3ISZ0;A0A0G2JLG5;E9PG39,AGK_HUMAN,Q9ESW4,Q9ESW4,AGK_MOUSE
COLGALT1,Colgalt1,89026.72723,82520.89768,84601.55503,91385.3593,94167.22566,93151.34281,61617.31155,57671.01226,55157.03569,67897.35651,73856.71159,66822.23272,83298.05713,81210.73636,78947.55507,77637.68483,85249.87199,84638.06578,collagen beta(1-O)galactosyltransferase 1 [Source:MGI Symbol;Acc:MGI:1924348],ENSMUSG00000034807,ENSG00000130309,ENSMUSP00000047923,Q8NBJ5,Q8NBJ5,GT251_HUMAN,Q8K297,Q8K297,GT251_MOUSE
TSEN34,Tsen34,65082.11173,85916.53515,91416.32129,91398.16115,90137.87074,92825.61236,61696.90468,62997.81451,59851.80919,38756.69461,43303.61893,40516.40161,49032.78436,39983.45904,40076.84531,39223.5578,50114.98375,39189.14854,tRNA splicing endonuclease subunit 34 [Source:MGI Symbol;Acc:MGI:1913328],ENSMUSG00000035585,ENSG00000170892,ENSMUSP00000145687,Q9BSV6,Q9BSV6,SEN34_HUMAN,Q8BMZ5,Q8BMZ5;H7BX14,SEN34_MOUSE
AK6,Ak6,49919.46885,74619.59188,74082.19181,91409.85722,86825.46545,88070.67028,61993.60197,67513.45767,64253.56167,138093.2256,134558.3572,120461.3456,153659.3012,146190.3765,147808.8197,140479.4028,150305.8983,142430.2014,adenylate kinase 6 [Source:MGI Symbol;Acc:MGI:5510732],ENSMUSG00000078941,ENSG00000273841,ENSMUSP00000022135,Q9Y3D8,Q9Y3D8;A0A087WY94;A0A087WVD7,KAD6_HUMAN,Q8VCP8,Q8VCP8;A0A087WRI5,KAD6_MOUSE
HIKESHI,Hikeshi,77090.30433,81352.61777,68679.00577,91497.28548,85023.51268,82053.52452,37645.61655,40809.30825,42202.12253,111541.2562,136100.3119,114103.8116,143895.0632,141256.5198,139549.584,132586.483,154013.8633,155668.3251,heat shock protein nuclear import factor [Source:MGI Symbol;Acc:MGI:96738],ENSMUSG00000062797,ENSG00000149196,ENSMUSP00000119806,Q53FT3,Q53FT3;A0A087WYW7,HIKES_HUMAN,Q9DD02,Q9DD02,HIKES_MOUSE
MGST1,Mgst1,39774.74708,62401.97878,76240.89928,91508.06821,88876.34775,85304.68053,49336.05729,53495.73505,47260.04674,417802.3084,453196.7337,426470.6957,642673.4512,633797.7238,631602.8528,510126.5952,540671.4083,551365.6077,microsomal glutathione S-transferase 1 [Source:MGI Symbol;Acc:MGI:1913850],ENSMUSG00000008540,ENSG00000008394,ENSMUSP00000008684,P10620,P10620;F5H6X2;F5H7F6,MGST1_HUMAN,Q91VS7,Q91VS7;D3YU60;E9QJW0,MGST1_MOUSE
PCTP,Pctp,74366.05316,66346.44476,74517.94952,91609.23295,84456.12686,94435.80866,52823.68368,42140.65626,42488.25535,93052.60967,93317.27977,96587.9009,109847.4554,120207.9678,117324.0708,118250.8946,105919.6918,105193.7596,phosphatidylcholine transfer protein [Source:MGI Symbol;Acc:MGI:107375],ENSMUSG00000020553,ENSG00000141179,ENSMUSP00000020864,Q9UKL6,Q9UKL6;I3L2M9;I3L4Z8;I3L3H0,PPCT_HUMAN,P53808,P53808;Q5SV41,PPCT_MOUSE
TIMM22,Timm22,78416.11624,73171.8679,65910.44488,91760.61966,80890.36712,96647.7968,67773.37412,74972.36169,77369.5243,88437.40238,100830.0717,100990.7265,118148.2406,100571.1792,108126.2768,115661.2598,120540.594,97639.24355,translocase of inner mitochondrial membrane 22 [Source:MGI Symbol;Acc:MGI:1929742],ENSMUSG00000020843,ENSG00000177370,ENSMUSP00000113238,Q9Y584,Q9Y584,TIM22_HUMAN,Q9CQ85,Q9CQ85;E9PXB9;Z4YN86,TIM22_MOUSE
SMIM12,Smim12,55395.55366,73534.30548,94247.58563,91779.00962,100259.1696,98551.62098,76907.68868,77883.78339,87481.49762,65936.31925,85822.50372,76523.891,94853.44653,122139.2223,88607.3021,97013.95828,34999.4758,115858.7606,small integral membrane protein 12 [Source:MGI Symbol;Acc:MGI:1933141],ENSMUSG00000042380,ENSG00000163866,ENSMUSP00000131941,Q96EX1,Q96EX1;E5RH51,SIM12_HUMAN,Q78RX3,Q78RX3,SIM12_MOUSE
GCLM,Gclm,79861.17786,84139.13092,86471.40674,92031.567,88843.49677,99832.01042,64114.12627,59399.9129,51119.82598,71422.68673,76873.4591,59545.64826,88820.27425,77753.97426,83257.03071,81796.27709,75199.36088,77421.02281,"glutamate-cysteine ligase, modifier subunit [Source:MGI Symbol;Acc:MGI:104995]",ENSMUSG00000028124,ENSG00000023909,ENSMUSP00000029769,P48507,P48507,GSH0_HUMAN,O09172,O09172;A0A0G2JDI4;H3BJA3,GSH0_MOUSE
NSUN2,Nsun2,93513.24121,85696.89258,88062.45657,92085.80516,89822.69707,89624.04152,61064.99092,64609.60024,58170.41525,67708.95344,78251.88538,73143.93012,86688.53761,83462.49689,82018.78122,79667.20142,77049.96413,88549.76453,NOL1/NOP2/Sun domain family member 2 [Source:MGI Symbol;Acc:MGI:107252],ENSMUSG00000021595,ENSG00000037474,ENSMUSP00000134962,Q08J23,Q08J23,NSUN2_HUMAN,Q1HFZ0,Q1HFZ0;H3BKN0,NSUN2_MOUSE
PUS1,Pus1,84233.91966,83573.50068,80846.35841,92108.49083,92243.80626,97597.34247,62753.44733,61242.70734,55121.29065,75654.77343,77456.77973,73280.26397,83306.25811,83890.08933,81926.00338,78223.78503,68592.06319,78776.56407,pseudouridine synthase 1 [Source:MGI Symbol;Acc:MGI:1929237],ENSMUSG00000029507,ENSG00000177192,ENSMUSP00000108045,Q9Y606,Q9Y606;G8JLB3;F5H1S9,TRUA_HUMAN,Q9WU56,Q9WU56;H7BX59,TRUA_MOUSE
MRPS25,Mrps25,121949.652,94589.41415,103684.3683,92269.23179,104141.9657,100822.7458,66989.10166,73176.78761,67345.32615,84005.86621,80984.52511,82388.0485,94602.28491,89906.67075,95701.43444,91048.61389,70110.49004,91191.09118,mitochondrial ribosomal protein S25 [Source:MGI Symbol;Acc:MGI:1928140],ENSMUSG00000014551,ENSG00000131368,ENSMUSP00000114402,P82663,P82663;E7EPW2,RT25_HUMAN,Q9D125,Q9D125,RT25_MOUSE
POLR2D,Polr2d,138440.8298,92702.45503,104724.5962,92306.33461,95476.02105,85781.47167,77757.00098,73195.82592,73629.62682,27789.82114,32975.55576,37160.92037,31435.0938,36663.05103,33237.29832,28812.11584,37755.16998,46687.11244,polymerase (RNA) II (DNA directed) polypeptide D [Source:MGI Symbol;Acc:MGI:1916491],ENSMUSG00000024258,ENSG00000144231,ENSMUSP00000025106,O15514,O15514;E9PHV4;E9PB93,RPB4_HUMAN,Q9D7M8,Q9D7M8;A0A3Q4L2S8,RPB4_MOUSE
NUP107,Nup107,80657.75045,81854.44653,78657.70634,92503.8773,85504.0859,87298.22027,52738.68527,54527.26953,49617.10031,37191.91288,40667.15238,35581.94706,44633.11036,42456.23637,41530.54132,39710.50282,40218.40322,43854.11899,nucleoporin 107 [Source:MGI Symbol;Acc:MGI:2143854],ENSMUSG00000052798,ENSG00000111581,ENSMUSP00000151757,P57740,P57740,NU107_HUMAN,Q8BH74,Q8BH74;E9Q4V9,NU107_MOUSE
PDRG1,Pdrg1,97116.34299,96095.76753,76447.51637,92521.96088,105864.3083,81625.11277,76183.31681,64689.68573,70708.71249,112448.9394,136210.0894,111704.3253,132332.1753,130219.5912,143991.0162,123648.0645,133082.0966,148564.9436,p53 and DNA damage regulated 1 [Source:MGI Symbol;Acc:MGI:1915809],ENSMUSG00000027472,ENSG00000088356,ENSMUSP00000028972,Q9NUG6,Q9NUG6,PDRG1_HUMAN,P59048,P59048,PDRG1_MOUSE
